CID,CNTRY
AW-00011000,Australia
AW-00011001,Australia
AW-00011002,Australia
AW-00011003,Australia
AW-00011004,Australia
AW-00011005,Australia
AW-00011006,Australia
AW-00011007,Australia
AW-00011008,Australia
AW-00011009,Australia
AW-00011010,Australia
AW-00011011,Australia
AW-00011012,US
AW-00011013,US
AW-00011014,US
AW-00011015,US
AW-00011016,US
AW-00011017,Australia
AW-00011018,Australia
AW-00011019,Canada
AW-00011020,Canada
AW-00011021,US
AW-00011022,US
AW-00011023,US
AW-00011024,US
AW-00011025,Australia
AW-00011026,Australia
AW-00011027,Australia
AW-00011028,Australia
AW-00011029,Australia
AW-00011030,Australia
AW-00011031,Australia
AW-00011032,Australia
AW-00011033,Australia
AW-00011034,Australia
AW-00011035,Australia
AW-00011036,US
AW-00011037,Canada
AW-00011038,Australia
AW-00011039,Australia
AW-00011040,US
AW-00011041,US
AW-00011042,US
AW-00011043,US
AW-00011044,Australia
AW-00011045,Australia
AW-00011046,Australia
AW-00011047,Australia
AW-00011048,Australia
AW-00011049,US
AW-00011050,Australia
AW-00011051,Australia
AW-00011052,Australia
AW-00011053,US
AW-00011054,Australia
AW-00011055,Australia
AW-00011056,Australia
AW-00011057,Australia
AW-00011058,Australia
AW-00011059,Australia
AW-00011060,Australia
AW-00011061,Australia
AW-00011062,US
AW-00011063,US
AW-00011064,US
AW-00011065,US
AW-00011066,US
AW-00011067,US
AW-00011068,Australia
AW-00011069,Australia
AW-00011070,Australia
AW-00011071,Australia
AW-00011072,Australia
AW-00011073,Australia
AW-00011074,Australia
AW-00011075,Australia
AW-00011076,Australia
AW-00011077,Australia
AW-00011078,Canada
AW-00011079,Australia
AW-00011080,Australia
AW-00011081,US
AW-00011082,US
AW-00011083,US
AW-00011084,US
AW-00011085,US
AW-00011086,US
AW-00011087,US
AW-00011088,US
AW-00011089,US
AW-00011090,US
AW-00011091,Canada
AW-00011092,Australia
AW-00011093,Australia
AW-00011094,Australia
AW-00011095,Australia
AW-00011096,Australia
AW-00011097,Australia
AW-00011098,Australia
AW-00011099,Australia
AW-00011100,Australia
AW-00011101,Australia
AW-00011102,Australia
AW-00011103,Australia
AW-00011104,Australia
AW-00011105,Australia
AW-00011106,Australia
AW-00011107,Australia
AW-00011108,Australia
AW-00011109,Australia
AW-00011110,Australia
AW-00011111,Australia
AW-00011112,Australia
AW-00011113,Australia
AW-00011114,Australia
AW-00011115,Australia
AW-00011116,Australia
AW-00011117,Australia
AW-00011118,Australia
AW-00011119,Australia
AW-00011120,Australia
AW-00011121,Australia
AW-00011122,Australia
AW-00011123,Australia
AW-00011124,Australia
AW-00011125,Australia
AW-00011126,Australia
AW-00011127,US
AW-00011128,US
AW-00011129,US
AW-00011130,US
AW-00011131,Canada
AW-00011132,Canada
AW-00011133,US
AW-00011134,Australia
AW-00011135,US
AW-00011136,Canada
AW-00011137,US
AW-00011138,US
AW-00011139,Australia
AW-00011140,US
AW-00011141,US
AW-00011142,Canada
AW-00011143,US
AW-00011144,US
AW-00011145,US
AW-00011146,Australia
AW-00011147,Australia
AW-00011148,Australia
AW-00011149,Australia
AW-00011150,Australia
AW-00011151,Australia
AW-00011152,US
AW-00011153,US
AW-00011154,US
AW-00011155,US
AW-00011156,US
AW-00011157,US
AW-00011158,US
AW-00011159,US
AW-00011160,US
AW-00011161,US
AW-00011162,US
AW-00011163,US
AW-00011164,US
AW-00011165,US
AW-00011166,US
AW-00011167,US
AW-00011168,US
AW-00011169,US
AW-00011170,US
AW-00011171,US
AW-00011172,US
AW-00011173,US
AW-00011174,US
AW-00011175,US
AW-00011176,Canada
AW-00011177,US
AW-00011178,US
AW-00011179,US
AW-00011180,US
AW-00011181,US
AW-00011182,US
AW-00011183,US
AW-00011184,US
AW-00011185,Canada
AW-00011186,US
AW-00011187,US
AW-00011188,US
AW-00011189,US
AW-00011190,US
AW-00011191,US
AW-00011192,US
AW-00011193,US
AW-00011194,US
AW-00011195,US
AW-00011196,US
AW-00011197,US
AW-00011198,US
AW-00011199,US
AW-00011200,Canada
